ID_REF	GSM677582	GSM677583	GSM677584	GSM677585	GSM677586	GSM677587	GSM677588	GSM677589	GSM677590
184681_s_at	1486.32	3083.69	1894.89	2432.62	2243.51	2421.77	2053.57	2454.84	2708.52
184682_s_at	0.16653	11.6273	4.56811	0.07534	9.62045	13.9942	2.34982	7.9652	null
184683_at	null	null	4.58668	null	null	null	2.73313	null	null
184684_at	15.6226	5.3447	null	15.5458	9.02461	null	null	null	null
184685_s_at	1042.56	1674.79	403.318	1316.19	964.009	508.352	1293.45	1194.95	553.446
184686_at	0.99819	null	3.23004	1.93305	6.57249	null	0.93047	0.71579	null
184687_at	7.21446	12.0941	7.29989	13.8797	18.4371	4.45343	4.05181	10.4682	5.06946
184688_at	61.0184	63.4645	57.5356	47.1255	44.4911	42.5217	41.7877	64.9793	56.3038
184689_at	2.15801	0.64744	5.00847	null	15.7847	6.12628	3.90752	17.3963	null
184690_at	12.0682	null	15.6749	14.8273	2.8115	3.22139	null	null	null
184691_at	7.29028	15.5481	13.3593	6.97773	8.04301	6.75178	19.7492	6.10091	9.75244
184692_at	820.983	2334.24	1169.79	1588.14	1446.85	1695.44	1145.86	1391.08	1523.76
184693_s_at	1.88852	13.3578	13.6075	13.9379	17.729	5.1357	20.4163	15.0986	10.3111
184694_at	36.8412	84.6194	100.344	73.0009	70.6438	180.414	77.8145	65.7545	146.462
184695_at	null	5.31063	null	5.43619	null	1.42636	null	null	null
184696_at	21.6253	19.268	16.3869	22.7876	19.625	13.1472	4.43678	20.3636	10.4151
184697_at	45.5506	65.9619	55.2997	72.4399	60.8282	41.3832	59.1269	56.6172	55.9399
184698_at	643.817	1671.32	950.491	1688.45	1560.19	1501.16	1509.32	1767.49	1910.12
184699_at	18.3257	7.44947	20.7801	19.4572	17.1462	16.777	19.5491	8.14439	16.8742
184700_at	36.7664	128.131	63.153	68.3989	57.722	114.298	44.1493	44.2809	97.05
184701_at	4.42712	2.56336	9.38448	0.48484	3.68194	5.61135	3.01388	1.28715	7.30684
184702_at	1054.62	2271.95	1676.45	1735.26	1577.75	1622.98	1539.49	1866.17	2058.54
184703_at	30.0383	55.3271	39.3915	43.442	46.5834	59.4251	21.6747	34.1471	30.8031
184704_at	null	null	null	null	null	null	82.7012	0.2493	37.5129
184705_at	null	2.82814	null	null	11.1532	null	9.08768	null	null
184706_at	null	null	null	null	null	null	null	null	8.955
184707_s_at	11.0018	10.4662	null	2.408	null	18.6532	11.368	5.51965	9.55277
184708_s_at	11.1835	25.483	5.08392	28.0587	34.5087	10.4246	20.6395	35.0436	null
184709_at	64.5064	133.881	77.6594	96.6885	100.633	119.387	49.0865	78.1821	101.014
184710_at	28.3894	59.5568	29.656	56.7652	55.08	22.9722	35.2758	47.7326	48.6696
184711_at	19.1345	71.1781	36.1219	69.0985	66.7233	31.8709	53.311	52.5038	43.4252
184712_s_at	660.071	1333.09	884.839	1091.83	1109.51	1136.22	839.68	923.349	1204
184713_at	22.5374	35.2556	null	40.8956	30.1742	36.5826	18.3521	38.8613	32.1207
184714_s_at	188.687	371.657	197.021	291.694	343.377	331.701	286.234	395.798	375.818
184715_at	58.2818	150.927	75.165	121.501	122.157	96.0236	62.4267	89.1726	129.72
184716_at	191.18	303.532	174.643	231.697	206.743	203.485	247.82	263.867	217.491
184717_at	null	null	null	null	null	null	null	null	null
184718_at	5.86813	8.68821	null	null	1.17071	null	5.24745	6.16167	1.7654
