ID_REF	GSM1151351	GSM1151352	GSM1151353	GSM1151354	GSM1151355	GSM1151356	GSM1151357	GSM1151358
1415845_at	-0.101625	0.089263	0.277866	0.83834	-0.0752068	0.0429211	-0.283568	-0.0429211
1415846_a_at	0.0667508	-0.0262082	-0.026926	0.207076	-0.164012	0.0325031	0.0262084	-0.112103
1415847_at	0.149355	-0.00757551	0.115026	0.00757527	0.0859101	-0.0439167	-0.0767169	-0.064187
1415848_at	-0.067944	0.0787539	-0.0687451	0.0201831	-0.0787544	0.0302172	-0.0201831	0.0318122
1415849_s_at	-0.00699615	0.00699615	-0.0257902	0.0235491	0.0291033	0.0410051	-0.0569267	-0.00827217
1415850_at	-0.0233011	0.0706568	-0.00171852	-0.115849	-0.0520325	0.00171852	0.00757122	0.0572224
1415851_a_at	-0.0680361	-0.000539	-0.10937	0.000539	0.00552082	-0.00185108	0.220803	0.123695
1415852_at	0.120421	-0.0471649	-0.127761	-0.0223503	0.137372	0.165749	-0.129394	0.0223503
1415853_at	0.0533099	-0.137789	0.00234318	-0.00234318	0.00837803	-0.0736609	-0.254728	0.0513954
1415854_at	-0.0138283	0.140233	-0.0926762	0.0690885	-0.0869513	0.0138283	0.0886602	-0.059082
1415855_at	-0.052907	-0.0514202	-0.191961	-0.062458	0.0514202	0.181082	0.203139	0.218341
1415856_at	0.0589972	-0.215868	-0.0226703	-0.258572	0.320226	0.0956578	-0.136922	0.0226703
1415857_at	-0.0281701	-0.260497	-0.278626	-0.335436	0.0281696	0.0388894	0.228166	0.0493555
1415858_at	-0.0444469	0.00786209	-0.0286684	-0.00190926	0.00190926	0.0767546	-0.27019	0.0900841
1415859_at	0.0426559	0.243813	0.0722065	-0.0619268	-0.0426559	0.0537319	-0.488129	-0.0567331
1415860_at	-0.037488	-0.0282183	-0.0956192	-0.263746	0.0419731	0.239029	0.0282183	0.0615759
1415861_at	-0.0818481	0.104864	-0.0563374	-0.0288148	-0.0595977	0.028815	0.0962203	0.0757694
1415862_at	-0.133239	-0.0224309	0.0760989	0.0268819	-0.0155716	-0.119107	0.0155716	0.0372896
1415863_at	-0.0210276	0.0949898	-0.094842	-0.100847	0.0210276	0.11607	-0.107621	0.0634718
1415864_at	-0.11789	-0.0107641	0.102931	-0.387084	0.0107641	0.134596	0.12217	-0.0948639
1415865_s_at	-0.0234528	0.152795	-0.0179853	-0.150791	0.00424576	0.0984507	0.0903625	-0.00424576
1415866_at	-0.0820832	0.236836	0.240413	0.0820832	0.23863	-0.139041	-0.192759	-0.115136
1415867_at	-0.00542641	0.00542641	-0.0452805	-0.122403	0.135538	0.0781155	0.0172749	-0.0136395
1415868_at	0.265608	0.0197716	0.0279984	0.0537534	-0.0226324	-0.170786	-0.0197718	-0.119296
1415869_a_at	0.0321484	-0.0321484	-0.202815	-0.0354757	0.0369072	0.0556002	-0.362757	0.104506
1415870_at	-0.0310917	-0.0119505	0.0144281	-0.0337944	0.0321474	0.067832	-0.2038	0.0119505
1415871_at	0.127285	-0.26156	-0.128542	-0.105388	0.000926	-0.000926	0.014091	0.368577
1415872_at	-0.00810623	-0.0198879	-0.10276	-0.175131	0.00810528	0.0707703	0.0273352	0.111527
1415873_a_at	-0.0182486	0.0849705	0.021575	0.0182486	-0.0368938	0.0250196	-0.576912	-0.0569792
1415874_at	0.104163	-0.0718703	-0.0332842	-0.105503	0.125613	0.0332837	-0.0455308	0.204986
1415875_at	-0.160476	-0.0856996	-0.0187042	0.0404153	0.235023	-0.0645351	0.0505509	0.0187042
1415876_a_at	0.0179987	-0.0193491	-0.0737591	-0.0341654	0.0497494	-0.0179987	0.059844	0.0422554
1415877_at	0.0283842	0.0391626	0.101113	-0.030179	0.148439	-0.0283842	-0.608846	-0.0670233
1415878_at	0.0368805	-0.0368805	-0.219811	-0.0418968	0.10088	0.281117	-0.0952864	0.0431156
1415879_a_at	-0.00285149	-0.0186729	0.0179234	-0.0840197	0.00285149	0.0118713	-0.063591	0.0114841
1415880_a_at	0.0541639	0.0297508	-0.0542269	-0.0324097	-0.00329399	0.0185843	-0.179323	0.00329399
1415881_at	-0.104084	0.0757551	-0.0365944	0.103023	-0.131538	-0.0558596	0.151802	0.0365944
1415882_at	-0.0096941	-0.00834322	0.0272079	0.00997305	-0.0786371	0.0681229	0.00834322	-0.0491147
1415883_a_at	-0.0485804	-0.26759	-0.00559092	0.197351	-0.00439739	0.100267	0.00439739	0.111922
1415884_at	-0.138405	-0.013546	-0.195687	0.388174	0.163719	0.0540881	0.013546	-0.140914
1415885_at	-0.0152664	0.235187	0.217737	0.0152664	-0.115148	-0.148904	0.0599775	-0.166079
1415886_at	0.105214	0.0287104	0.0286708	-0.0114202	0.0114202	-0.106947	-0.442894	-0.0114202
1415887_at	0.00630665	0.0447712	-0.00561905	0.0384693	0.00561905	-0.0602703	-0.0495167	-0.0310841
1415888_at	0.198543	0.0348597	-0.113146	-0.0348597	0.115891	0.312273	-1.41625	-0.0678873
1415889_a_at	-0.147504	-0.0357828	-0.356004	-0.494903	0.0357828	0.152498	0.0743227	0.242938
1415890_at	-0.0302048	0.130747	-0.00412083	-0.11444	-0.0128784	0.177558	0.00412083	0.0543118
1415891_at	0.0590296	-0.0687666	0.0446815	-0.180503	0.0784349	0.0318975	-0.0882483	-0.0318975
1415892_at	0.00467396	0.0327463	-0.0589156	-0.360616	0.0300674	-0.00467444	-0.0769386	0.0396795
1415893_at	0.182426	0.0195284	-0.0397372	-0.0195284	-0.108801	0.0470285	-0.664679	0.157941
1415894_at	0.042438	-0.527144	-0.572013	-0.672209	0.147658	0.100544	-0.0424376	0.321718
1415895_at	-0.0384741	0.038475	0.142388	0.121078	-0.0734959	-0.173613	0.143707	-0.178758
1415896_x_at	-0.00939846	0.00939941	0.081459	0.0744925	-0.0714407	-0.170709	0.117387	-0.142324
1415897_a_at	-0.0739517	-0.204714	0.0120087	-0.192462	0.0308943	0.0553141	0.228987	-0.0120087
1415898_at	0.0169158	-0.0169158	-0.0335171	0.252652	0.0762191	0.0832903	-0.0390613	-0.0171616
1415899_at	0.0203481	-0.0203481	0.182858	0.307004	-0.0554571	-0.0713015	-0.039197	0.0445681
1415900_a_at	-0.140332	0.278772	0.0678592	-0.0212379	-0.143188	-0.107491	0.0212379	0.0217996
1415901_at	0.0731688	0.00227737	0.0193701	-0.00227737	0.116556	-0.0408697	-0.200536	-0.0128794
1415902_at	0.262307	0.00533938	-0.00533915	0.0418901	-0.00746107	0.0448391	-0.250392	-0.0539143
1415903_at	-0.0302353	0.078083	0.0104189	-0.0104189	-0.0195761	-0.0318213	0.388687	0.14568
1415904_at	0.136066	-0.136066	-0.185964	-0.22984	0.14065	0.177089	0.316621	-0.139962
1415905_at	-0.00830746	-0.00830746	0.00830746	-0.0893979	0.222123	0.0524774	0.0721998	-0.257163
1415906_at	-0.0159225	0.0293589	0.0179262	0.00354481	0.00220203	-0.00220203	-0.0468941	-0.0370436
1415907_at	0.125154	-0.00920868	-0.0808849	0.00920868	0.196803	-0.0333548	-0.313183	0.213655
1415908_at	0.0253363	0.00361443	0.00568771	-0.68383	-0.142501	0.0995131	-0.00361443	-0.154712
1415909_at	-0.0545607	0.0421677	-0.125975	-0.0224047	0.0224047	0.110539	-0.306068	0.146639
1415910_s_at	0.0954399	-0.0172615	-0.0969114	-0.0423841	0.220082	0.116405	-0.00232697	0.00232697
1415911_at	0.156274	-0.0374885	0.530483	-0.0140624	0.0140629	-0.200212	0.555688	-0.358837
1415912_a_at	0.0418968	-0.0123549	-0.0523291	-0.106949	0.0452709	0.0123549	-0.0539732	0.0426445
1415913_at	0.0385332	-0.0385332	-0.0700068	-0.274918	-0.357578	0.0783658	0.0569558	0.25094
1415914_at	-0.0130844	0.0130844	-0.0645561	-0.02987	0.0165987	0.110836	-0.0624723	0.0883112
