ID_REF	GSM488119	GSM488121	GSM488123	GSM488125	GSM488127	GSM488129	GSM488111	GSM488113	GSM488115	GSM488117	GSM488131	GSM488120	GSM488122	GSM488124	GSM488126	GSM488128	GSM488130	GSM488112	GSM488114	GSM488116	GSM488118	GSM488132
211424_x_at	122.987	637.096	174.22	226.808	276.036	1086.7	75.9587	217.694	175.939	164.689	178.147	317.578	153.152	168.713	185.056	448.441	155.208	11.2024	216.6	360.589	240.607	130.692
211425_x_at	133.519	134.846	11.4878	69.7824	16.242	253.858	7.87923	5.0235	4.92618	5.68859	17.7602	103.733	22.1069	134.699	38.8266	12.6404	2.66471	9.17909	3.15269	3.76116	34.4059	7.54191
211426_x_at	33.8789	41.4283	129.13	57.3883	40.6611	599.23	167.993	228.44	173.494	36.8823	166.683	36.9355	123.331	51.3717	134.617	187.913	67.4143	184.181	357.136	137.619	98.3025	64.9619
211427_s_at	8.26668	21.508	9.55163	30.62	9.83006	131.234	1.65519	16.0469	3.60142	7.50212	3.61778	5.53129	1.90794	5.61617	48.6437	36.0462	7.72621	2.46348	3.97753	2.78492	11.2699	0.884523
211428_at	4.78119	94.6378	6.96399	29.4738	12.3072	120.875	13.5441	56.0234	52.5672	63.6954	7.9601	11.4334	41.4043	43.147	7.98382	43.0174	23.529	55.2473	31.4705	29.1207	2.5469	10.3564
211429_s_at	95.6646	234.52	289.538	337.318	204.449	530.509	216.851	167.384	508.825	93.2381	247.957	226.303	279.071	276.849	362.623	408.639	146.357	151.824	192.854	185.011	183.742	275.092
211430_s_at	27.6421	212.72	82.2607	19.1878	366.54	40.6432	58.378	12.0017	116.547	8.79505	56.5278	54.3421	21.3375	85.8659	13.4456	10.6552	49.6522	39.294	14.6848	17.2169	27.8381	14.5204
211431_s_at	151.572	152.785	67.7124	62.3405	62.2494	67.5522	116.553	78.1541	78.3096	73.7815	93.9587	108.121	47.5234	31.1306	117.254	112.606	119.034	160.617	7.60816	79.9665	96.2665	64.3121
211432_s_at	544.24	737.725	655.7	381.5	623.439	793.672	796.582	864.778	516.682	670.006	433.587	518.51	511.024	298.082	28.4594	925.53	814.325	817.095	1079.87	929.701	851.338	344.47
211433_x_at	487.414	123.693	466.685	216.599	494.9	248.24	492.436	596.365	227.298	278.277	275.987	647.368	314.102	185.702	187.061	181.265	288.491	625.174	832.799	367.772	328.298	408.89
211434_s_at	4.42545	16.8166	25.6405	39.818	28.3941	59.2464	75.9106	106.831	24.0599	21.734	32.515	11.4584	11.9036	6.44926	132.604	10.9118	19.4468	44.3362	168.825	5.11482	4.09746	21.1241
211435_at	73.1638	213.231	76.4377	57.414	438.664	466.849	57.8196	129.516	92.6651	46.1512	82.158	209.122	56.2667	57.2987	266.626	185.282	87.1164	17.1985	43.0298	88.8237	48.3364	84.7537
211436_at	72.199	207.271	5.36463	9.23184	125.807	11.0573	58.0426	80.7979	43.9471	5.0648	27.0092	340.938	6.84508	94.4455	90.775	175.56	5.99885	5.96968	7.35146	9.09032	29.6269	5.44476
211437_at	5.31086	57.3841	29.4393	49.1316	18.725	192.676	10.8636	27.5667	20.1514	3.228	3.17516	4.97165	28.7989	5.47981	29.9684	256.534	4.62779	6.54716	14.5701	4.78948	5.90144	4.8973
211438_at	12.8581	30.3892	6.52467	46.8241	307.661	75.567	2.59573	15.5488	46.3353	5.29571	33.8082	143.007	17.4378	5.79209	16.6907	159.163	8.96223	8.33624	6.5745	36.1653	11.6779	10.4112
211439_at	6.52703	33.8388	65.9222	15.6174	14.391	140.232	86.3512	120.185	19.4182	44.4196	60.0969	45.6816	50.7792	120.932	6.9515	16.7707	40.5031	67.1347	29.7101	51.8604	35.8925	46.6806
211440_x_at	156.422	260.606	20.3065	69.8152	160.57	140.952	72.8097	2.95483	6.83513	54.6681	55.551	219.534	31.2927	16.9486	94.8216	21.6649	10.6363	5.99105	99.5061	45.5363	28.9233	7.37838
211441_x_at	3.99036	61.6779	50.5087	16.4033	33.7346	52.1706	16.1608	106.113	70.9161	67.7799	3.37646	30.8076	10.5733	47.5491	16.4127	13.8331	15.5216	9.14521	29.2351	90.84	17.1088	19.7549
211442_x_at	5.41894	271.862	27.1216	23.5664	125.517	95.9254	11.2664	32.0061	9.20873	3.492	22.1872	116.464	8.18088	96.3789	183.965	143.078	39.6089	16.214	115.492	5.61798	14.8317	4.67298
211444_at	115.823	309.646	52.4899	155.561	1017.74	34.2089	54.6487	11.9991	34.4716	60.1538	48.8352	102.836	74.5168	60.9439	145.61	170.777	40.113	47.7567	30.7998	43.7511	82.5029	79.6667
