ID_REF	GSM211831	GSM211832	GSM211833	GSM211834	GSM211835	GSM211836	GSM211837	GSM211838	GSM211839	GSM211840	GSM211841	GSM211842	GSM211843	GSM211844	GSM211845	GSM211846	GSM211847	GSM211848	GSM211849	GSM211850	GSM211851
10785_at	5.56579	5.86628	6.29131	3.89322	3.96061	4.05688	4.23432	4.22464	5.45136	3.80516	3.88174	4.02908	3.16093	3.38176	4.15193	3.64708	4.05991	4.42695	7.13993	8.16453	7.30438
10786_i_at	3.19541	2.7753	3.08642	3.16841	2.98264	2.99205	2.77773	3.04389	3.63904	2.69686	2.70674	2.48309	2.58065	2.77318	2.67449	2.94892	2.53511	2.52492	3.61242	4.25455	3.8174
10787_at	6.92221	7.59989	6.85067	4.82337	5.38248	5.39821	5.7116	5.51007	6.13478	5.17922	4.89542	4.8538	3.9163	4.82416	5.2496	5.56553	5.69563	6.002	10.6027	10.638	11.0041
10788_at	3.5522	3.23545	3.82018	3.68306	3.99573	3.91798	3.62843	3.44859	4.28193	3.32967	3.41938	3.63221	3.35883	3.3601	3.4017	3.48169	3.59974	3.40852	3.49018	3.78634	3.70108
10789_f_at	5.98634	6.06261	6.35296	11.4436	11.8256	11.7037	10.1231	10.2817	11.031	10.5162	10.4105	10.5617	9.22537	9.66854	10.453	9.46943	10.2577	11.018	10.2914	10.1295	10.6786
10790_at	4.8425	4.87988	5.02883	4.8917	5.09227	5.2483	5.00301	4.8814	5.05762	5.22644	5.25385	5.01835	4.93341	5.22766	5.27716	5.20916	5.54999	5.52746	5.59175	5.18694	5.35451
10791_at	4.13659	4.33015	4.59251	4.5629	4.40583	4.4898	4.47971	4.37393	4.91723	4.41355	4.50546	4.47889	5.28836	4.7113	4.62286	5.36446	5.02714	5.02271	4.6654	4.46545	4.60914
10792_at	4.89535	4.90708	5.31009	5.19638	5.34671	5.34284	5.4776	5.23688	5.56869	4.98142	5.11973	4.84973	5.08807	5.11886	4.95902	5.13894	5.27336	5.20253	4.64829	4.6256	4.70412
10793_at	6.60467	6.50547	6.58131	7.72288	8.34495	8.41161	8.20924	8.00469	8.10515	7.81829	8.01445	7.6206	7.46829	7.33294	7.76204	7.22373	7.38689	7.28128	6.16107	6.14944	6.02569
10794_at	6.60296	6.7199	6.48157	7.02651	7.52164	7.31947	7.64861	6.92782	7.16645	7.26126	7.22346	6.85488	7.31788	7.23526	7.58799	7.62761	7.3329	7.17611	7.02406	6.45088	6.90464
10795_at	7.00237	6.50441	6.03566	5.21785	5.65776	5.659	6.26406	5.56963	5.92207	6.46163	6.7773	6.45439	6.68559	6.67988	6.9537	7.3807	7.32326	7.20939	7.12217	7.0296	6.70822
10796_at	9.97108	10.0784	10.0302	8.8577	9.13553	9.09135	9.7153	9.63738	9.36075	8.92731	9.12931	8.51545	8.47321	8.70692	8.72856	8.07006	8.5009	7.84544	7.49292	7.75867	7.45999
10797_at	5.58304	5.61353	5.74608	6.58907	6.67393	6.69206	6.69582	6.47728	6.52002	6.6346	6.59229	6.2727	6.90261	6.61388	6.81502	6.34326	6.60634	6.48773	6.03129	6.08846	6.18722
10798_at	7.54454	7.79142	7.50084	7.42676	6.69501	6.98655	6.51923	6.80877	7.60231	6.57017	6.57069	6.63973	6.03823	6.16561	6.41837	5.70734	6.44797	6.59576	5.94314	5.99698	5.96874
10799_at	6.37907	6.39711	6.18088	7.40946	7.35602	7.18641	7.13085	7.14671	7.36968	7.66214	7.54709	7.15478	7.4656	7.36121	7.35225	6.7595	7.34389	7.47756	7.14186	7.53374	7.27927
10800_at	8.51096	8.19868	9.45205	9.06615	9.52251	9.3651	9.14191	9.70287	8.41337	9.18685	9.32137	8.52847	9.81897	8.97173	8.17247	8.71989	8.81118	8.09186	7.81146	8.30271	7.83208
10801_at	7.27356	6.73125	6.78362	8.02621	8.76694	8.64011	8.1233	8.33334	8.50493	7.81987	7.8871	7.88273	7.93	7.69095	8.00675	7.80173	7.80115	7.98962	7.25922	7.37189	7.44026
10802_at	7.062	7.14048	7.32165	8.88263	8.6021	8.72751	8.37848	8.69898	8.66363	8.37905	8.29144	8.31958	8.31889	7.90865	8.09449	7.52087	7.85183	8.0249	7.80868	8.13451	7.87082
10803_at	3.61812	3.77448	3.44106	3.88288	4.06286	3.98096	3.9924	3.77351	4.41675	3.99307	3.84584	3.65811	4.13839	3.89258	3.77127	3.7653	3.99851	3.928	3.6854	3.80382	3.40551
10804_at	6.56308	6.72456	6.32305	6.48913	6.33569	6.24265	6.25168	6.19538	6.36881	6.05248	6.39955	6.04885	6.21103	6.17956	5.97422	6.2364	5.72822	5.43475	5.54396	5.85597	5.49559
10805_at	7.78279	7.46115	7.99707	8.16897	8.29913	8.30816	8.65529	8.43097	8.80027	8.28446	9.22362	8.54619	9.16187	8.2245	8.16969	9.28187	8.00523	7.9631	7.36873	8.4321	7.82513
10806_at	3.23866	3.28125	3.47177	2.86869	3.00787	3.11154	3.70382	3.19718	3.98824	2.81053	3.03292	3.13364	3.41519	2.89613	2.84272	2.95923	2.96152	2.82201	3.01962	2.9138	2.84072
10807_at	6.90807	6.95922	7.19911	6.57049	6.26511	6.07226	6.33648	5.85451	6.65926	6.52005	6.53076	6.43299	6.06431	5.97832	6.04005	7.02935	7.43653	7.11455	8.88024	8.71543	8.36363
10808_at	3.63711	3.61765	3.80844	3.61736	3.60184	3.60803	3.97534	3.6538	4.6243	3.99914	3.94642	3.84432	3.94455	3.62117	3.48425	3.37261	3.73246	3.23728	3.54482	3.50499	3.32583
10809_g_at	4.64582	4.45033	4.40495	4.0864	3.98052	3.99689	4.42797	4.44184	4.8895	3.98289	4.34315	4.12248	4.00377	3.83893	3.92108	3.76702	4.11854	3.93857	4.089	4.19383	3.78141
