ID_REF	GSM140786	GSM140800	GSM140801	GSM140802	GSM140803	GSM140804
8132_at	1465.4	1322.4	1410.7	2102.2	1351.2	1237.5
8133_at	60.5	63.9	47.7	76.3	47.1	86
8134_at	19.4	20.3	5.9	49	30.2	24.3
8135_at	9.7	4.7	23.2	41	36.5	60.2
8136_at	278.2	265.3	343.9	361.5	172.5	435.6
8137_at	10734.4	11137.5	11708.5	12744.3	10268.7	10950.5
8138_at	0.6	1.7	17	10.1	0.7	6.1
8139_at	2322.5	2777.1	789.5	945.8	1364.9	1182
8140_at	63.1	459.7	94.7	65.7	423	159
8141_at	223	26.3	34.1	11	43.1	28.6
8142_s_at	112	40.2	72.2	171.5	61.8	93
8143_at	322.6	219.7	287.8	241.6	214.6	399.8
8144_g_at	1133.7	801.1	955.1	1111.3	656.4	935.4
8145_s_at	100.9	83.6	88.7	40.9	41.8	42.6
8146_at	33.1	36.4	36.6	32.3	29.8	52.9
8147_s_at	90.9	104.5	91.5	81.9	152.6	137.5
8148_at	16	17.7	28.8	47.6	11.2	22.1
8149_at	92.7	81.4	232.4	265.3	197.5	401.3
8150_s_at	326.7	390.1	573.5	510.2	325.7	537.1
8151_s_at	1272.9	742.3	1654.6	962.2	520.7	1549.8
8152_f_at	106.5	56.2	125.2	19.3	57.6	271.5
8153_at	1230.8	1918.5	1752.2	2259.6	2180.1	2171.2
8154_at	2.8	24.1	4.3	5.1	22.4	6.4
8155_at	12	14.4	16.4	33.9	7	15.6
8156_g_at	6.2	24.8	15.3	35.8	24.4	8
8157_at	78.7	31.9	65.8	105.2	64.1	102.9
8158_g_at	347.2	241.5	256.2	453.6	228.2	349.4
8159_at	303.9	196.9	216	510.3	194.8	256.8
8160_at	68.5	65.8	40.7	46.5	50	32.1
8161_at	4491.8	3860.5	5015.9	3054.6	5498.8	4343.6
8162_at	201	219.3	222	193.6	280.9	328.6
8163_at	36.2	15.3	24.2	39.9	40.3	26.4
8164_at	25.3	17.2	12.9	25.3	13.7	18
8165_at	186.6	213.4	122.1	332	203.6	194.1
8166_at	1084.1	996.3	1121.7	1523.3	998.8	1188.3
8167_at	209.3	195.2	340.9	254.2	147.4	329
8168_at	20711.1	19253.2	18135.1	18378.9	18714.3	16928.4
8169_at	4500.6	3862.7	4366.4	4251.6	3610.7	4019.2
8170_at	3801.9	2126.1	2676.3	3945.7	2041.1	2382.1
8171_at	79	38.8	52	82.8	57	65.9
8172_at	603.1	353.6	492.7	509.9	391.3	631.5
8173_at	2816.9	2371.5	4106.2	1836.9	2113.5	3541.3
8174_at	7702.3	6610.6	5496.2	5886.2	9723.4	7451.9
8175_at	52.9	30.8	21.9	6.8	28.5	13.5
8176_at	255.5	931.9	192.8	147.4	876.7	293.3
8177_at	225.8	72	101.6	76.8	73.9	85.1
8178_at	16.5	4.1	9	2.9	3.9	22.9
8179_at	1161.9	840.7	837.1	1530.9	811.5	746.1
8180_at	244.9	169.2	189	410.8	213.4	251.7
8181_at	298	269.7	139.1	252.6	391.6	259.1
8182_at	822.8	1207.3	527.6	777.6	1460.8	984
8183_at	87.8	67.8	106.2	258.1	128.1	147.3
8184_at	4232.7	4205.3	4791.6	3610.3	3937.9	3911
8185_at	9204.1	10650.7	8142.5	7237	9534.5	6895.2
8186_at	3464.5	1990.3	3845.1	2391.7	1801.4	3520.9
8187_at	15.4	6.2	7.3	5.2	3.2	5.3
8188_at	152.9	136.4	197.6	147.8	143.4	351.7
8189_at	57.9	40.3	34.3	49	36	46.8
8190_at	466.7	609	850.1	307.7	426.8	745
8191_at	107.6	145.7	103.8	53.2	168.5	219.4
8192_at	640.2	195.9	275	339	252.9	493.8
8193_at	130.8	65.5	141.2	209.3	68.6	144.5
8194_at	188.6	281.9	213.3	213.8	108.6	207.9
8195_at	22.5	16.8	28.8	21.7	0.9	9
8196_at	654.5	783.7	569.1	614	680	650.6
8197_at	858.7	654.3	706.7	1154.7	598.1	690.6
8198_at	844.1	644.9	863.8	770.4	506.1	836.2
8199_at	1490.7	940.4	1546.7	1036.4	835.1	1728.2
8200_at	2345.7	1029	3045	2679.5	859.6	2616.5
8201_at	2229.1	1802.8	1827.7	815.9	1649.9	523.3
8202_at	902.9	420	783.4	570.4	506.3	694.7
8203_at	1028.1	399.1	1490.4	822.4	341.7	1593.3
8204_at	1097.6	445.2	1681.8	1088.7	417.3	2190.7
8205_at	8357.2	8739.9	7731.4	8073.1	6070.2	6552.8
8206_at	1547.7	876.6	1091.2	1293.9	728.9	790.6
8207_at	2022.4	1838.9	2732.6	1147.1	998.2	2315.8
8208_at	433.6	133	185.8	640.3	190.4	221.8
