ID_REF	GSM1133080	GSM1133081	GSM1133082	GSM1133083	GSM1133084	GSM1133085	GSM1133086	GSM1133087	GSM1133088	GSM1133089	GSM1133090	GSM1133091	GSM1133092	GSM1133093
1437909_at	708.2	565.9	556.2	458.6	816	523.8	501.3	623.7	586.8	491.8	525.5	581.7	507.4	507.5
1437910_at	592.7	447.3	675.2	498.5	663.2	791.1	622.9	723.2	595.7	818.8	802.3	550.9	524.8	569.6
1437911_at	458.9	525.5	424	630.6	450.2	421.8	636.4	275.2	477.5	494.2	371.2	491.2	482.2	328.4
1437912_at	123.8	140.6	70.1	43	114.7	102.5	33.8	91.8	103.4	60.8	79	126.3	22.6	69.6
1437913_at	43.2	15.4	21.8	5.8	9	34.7	15.9	3.8	37.7	39.6	14.8	33.8	7.3	8.3
1437914_at	42.6	49.2	12.4	27.5	18.9	71	114.5	46.7	69.8	148.9	151.6	98.3	118.8	131.4
1437915_at	36.1	34	18.4	19.9	27.5	52.1	39.2	17.3	14.8	32.8	86.1	83.7	35.7	35.2
1437916_at	944.5	886	706.3	882.9	930.7	917.6	1342.6	527.4	704.4	629.2	892.6	930.4	594.5	684.4
1437917_at	695.2	906.4	306.3	466.5	550.7	357.6	495.1	501	529.2	318.4	326.1	691.3	317.6	627.4
1437918_at	198.8	130	171.7	164.5	133.5	175.4	154	176.1	128.2	45.3	116.5	151.4	71.6	134
1437919_at	172.7	109.1	73.4	61	95.4	84.6	71.5	82.3	220.1	44.3	50.1	38.1	23.5	111.7
1437920_at	6.1	1.3	7.7	16.6	36.2	4.1	2.9	1.9	1.8	2.9	14.5	21.3	9.9	6.3
1437921_x_at	116.9	134.5	84.5	88.3	102.2	137.7	129.9	90.7	182.9	157.7	122.1	145.3	81.6	111.3
1437922_at	41	2.6	1.9	21.6	2.6	2.1	15	20	13.7	15	1.6	20.3	16.2	2.6
1437923_at	429.8	405.7	383	397.3	369.4	613.7	499.9	417.2	340.1	1340.7	1640.7	2575.7	1822.5	1734.1
1437924_at	599.7	666.1	851.7	877	704.1	682.4	777.7	625.1	695.1	648.4	721.8	706.7	749.1	640.9
1437925_at	47	6.6	27.7	30.6	42.6	69.7	20.7	41.7	2.3	26	27.7	9.5	13.4	20.9
1437926_at	517.6	463.4	464	354.7	548.9	567.7	645.9	669.2	454.4	695.5	692.7	541.6	395.3	548.6
1437927_at	36.2	4.5	5.2	2.6	3.4	4	8.8	41	1.3	15.3	1.5	25	18.8	16.3
1437928_at	8.5	46.1	16.3	12.5	9.5	7.3	30.3	17.9	5.8	4.3	33.5	10	7	50.8
